ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:53,ptbxl,ft10,4,swap23,V1<->V2,0.8586,0.6345,0.8679,0.6440,-0.93,-0.94,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap34,V2<->V3,0.8625,0.6312,0.8706,0.6474,-0.82,-1.62,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,swap34,V2<->V3,0.8596,0.6222,0.8679,0.6440,-0.83,-2.18,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap45,V3<->V4,0.8718,0.6488,0.8706,0.6474,+0.12,+0.15,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,swap45,V3<->V4,0.8690,0.6382,0.8679,0.6440,+0.11,-0.57,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap56,V4<->V5,0.8732,0.6463,0.8706,0.6474,+0.26,-0.11,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,swap56,V4<->V5,0.8682,0.6464,0.8679,0.6440,+0.03,+0.24,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap67,V5<->V6,0.8705,0.6407,0.8706,0.6474,-0.01,-0.67,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,swap67,V5<->V6,0.8669,0.6398,0.8679,0.6440,-0.10,-0.42,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap_roll,roll1,0.8058,0.5405,0.8706,0.6474,-6.48,-10.69,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,swap_roll,roll1,0.8005,0.5208,0.8679,0.6440,-6.74,-12.31,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
